Code,Description,How to Use,Amount ($CAD),
G521,Life Threatening Critical Care – First 15 min ,"up to 3 MDs can bill ( encounters which Includes IVs, arterial lines, endotracheal or NG intubations, urinary catheters, defibrillations, & cardioversions)",$110.55 ,
G523,Life Threatening Critical Care – 2nd 15 min,"up to 3 MDs can bill ( encounters which Includes IVs, arterial lines, endotracheal or NG intubations, urinary catheters, defibrillations, & cardioversions)",$55.20 ,
G522,Life Threatening Critical Care Further Reassessment (every 15min; max 4 units),"up to 3 MDs can bill ( encounters which Includes IVs, arterial lines, endotracheal or NG intubations, urinary catheters, defibrillations, & cardioversions)",$36.35 ,
,,,,
G395,Other Critical Care - First 15 min,"(encounters Including IVs, arterial lines, endotracheal or NG intubations, urinary catheters, defibrillations, & cardioversions)",$56.80 ,
G391,Other Critical Care - per 15 min; max 8 units,"(encounters Including IVs, arterial lines, endotracheal or NG intubations, urinary catheters, defibrillations, & cardioversions)",$28.35 ,
,,,,
E412,After Hours Procedures bonus  MON-FRI 1700-0000,"percentage bonus, or absolute value bonus for a patient encounter; add if timing conditions in description are met ",20% bonus to billings,
E412,After Hours Procedural bonus  Weekends (0800-0000) & HOLIDAYS,"percentage bonus, or absolute value bonus for a patient encounter; add if timing conditions in description are met ",20% bonus to billings,
E413,After Hours Procedural bonus Nights 0000-0800,"percentage bonus, or absolute value bonus for a patient encounter; add if timing conditions in description are met ",40% bonus to billings,
H113,After Hours bonus for codes starting with G & K Weekend (0800-0000) & HOLIDAYS,"percentage bonus, or absolute value bonus for a patient encounter; add if timing conditions in description are met ",$19.80 ,
H113,After Hours bonus for codes starting with G & K Nights 0000-0800,"percentage bonus, or absolute value bonus for a patient encounter; add if timing conditions in description are met ",$34.20 ,
,,,,
E420,Trauma Premium,Applies to “G” codes & procedures; Medical record needs ISS score >15 or >12 if patient is less than 16 years old,50% bonus to G code billings,
,,,,
K734,ED MD to NON CritiCALL ,"Requires a minimum of 10 minutes discussing a patient between referring MD and consulted MD. MD should document the start/stop time of the call, name of consultant MD, reasons for consult, opinion and recommendation of consultant MD.",$31.35 ,
K736,ED MD to CritiCALL telephone,"Requires a minimum of 10 minutes discussing a patient between referring MD and consulted MD. MD should document the start/stop time of the call, name of consultant MD, reasons for consult, opinion and recommendation of consultant MD.",$31.35 ,
,,,,
H105,In-patient interim admission orders,"1.H105 is payable in addition to the initial consultation or assessment rendered in the emergency department or Hospital Urgent Care Clinic provided that each service is rendered separately by the Emergency Department Physician.
2.H105 is an insured service payable at nil if the hospital admission assessment is payable to the Emergency Department Physician",$26.25 ,
H065,Consultation to a CFPC MD (two plus one trained emergency physician),"1. The amount payable for a consultation by an ER Physician will be adjusted to a lesser assessment fee under either of the following circumstances:
a. the patient is referred by another ER physician in the same hospital; or
b. the service is given in any location other than the emergency department or other critical
care area in a hospital, or to a critically ill patient in a hospital.
2. ER reports must constitute adequate documentation of the written report of the consultation as long as the rendering of all constituent elements is clearly documented on all copies of the report. If
the consulting physician fails to ensure that a copy of the ER report is sent to the physician or nurse practitioner who referred the patient, the amount payable for the service will be adjusted to the amount payable for an assessment.",$74.25 ,
H055,Consultation to a FRCPC MD (5 YEAR trained emergency physician),"""1. The amount payable for a consultation by an ER Physician will be adjusted to a lesser assessment fee under either of the following circumstances:
a. the patient is referred by another ER physician in the same hospital; or
b. the service is given in any location other than the emergency department or other critical
care area in a hospital, or to a critically ill patient in a hospital.
2. ER reports must constitute adequate documentation of the written report of the consultation as long as the rendering of all constituent elements is clearly documented on all copies of the report. If
the consulting physician fails to ensure that a copy of the ER report is sent to the physician or nurse practitioner who referred the patient, the amount payable for the service will be adjusted to the amount payable for an assessment.""",$97.60 ,
,,,,
B100A,Telestroke consultation: First Telemedicine Patient Encounter premium,"Services cannot be billed in addition to the premiums for a missed, cancelled, or abandonned session. ",$35.00 ,
B200A,Telestroke consultation: Subsequent Telemedicine Patient Encounter Premium,,$15.00 ,
B101A,Telestroke consultation: First Cancelled/Missed Telemedicine Patient Encounter premium,,$35.00 ,
B201A,Telestroke consultation: Subsequent Missed/Cancelled Telemedicine Patient Encounter premium,,$15.00 ,
B102A,Telestroke consultation: First Technical Difficulties Abandoned Patient Encounter premium,,$35.00 ,
B202A,Telestroke consultation: Subsequent Technical Difficulties Abandoned Patient Encounter premium,,$15.00 ,
,,,,
K101,Ground ambulance transfer with patient per quarter hour or part thereof,"See GP 30 to GP 33
Detention-in-Ambulance is payable for constant attendance with a patient in an ambulance, to provide all aspects of care to the patient. Time is calculated only for that period during which the physician is in constant attendance with the patient in the ambulance. The service includes an initial examination and ongoing monitoring of the patient’s condition and all interventions, except in those circumstances in which the Schedule provides for separate or additional payment for the intervention. For the purposes of calculation of time units payable for detention, the start time commences after the minimum time required for the assessment or consultation listed in the GP30 table has passed (can range from 30-180 minutes). Claims for Detention-in-Ambulance are assessed by a medical consultant on an IC basis and require the submission of a written explanation.",42.1 per 15 minutes,
k111,Air ambulance transfer with patient per quarter hour or part thereof,"See GP 30 to GP 33
Detention-in-Ambulance is payable for constant attendance with a patient in an ambulance, to provide all aspects of care to the patient. Time is calculated only for that period during which the physician is in constant attendance with the patient in the ambulance. The service includes an initial examination and ongoing monitoring of the patient’s condition and all interventions, except in those circumstances in which the Schedule provides for separate or additional payment for the intervention. For the purposes of calculation of time units payable for detention, the start time commences after the minimum time required for the assessment or consultation listed in the GP30 table has passed (can range from 30-180 minutes). Claims for Detention-in-Ambulance are assessed by a medical consultant on an IC basis and require the submission of a written explanation.",$126.40 ,
k112,"Ambulance - Return trip without patient to place of origin following air or ground ambulance transfer, per half hour or major part thereof","See GP 30 to GP 33
Detention-in-Ambulance is payable for constant attendance with a patient in an ambulance, to provide all aspects of care to the patient. Time is calculated only for that period during which the physician is in constant attendance with the patient in the ambulance. The service includes an initial examination and ongoing monitoring of the patient’s condition and all interventions, except in those circumstances in which the Schedule provides for separate or additional payment for the intervention. For the purposes of calculation of time units payable for detention, the start time commences after the minimum time required for the assessment or consultation listed in the GP30 table has passed (can range from 30-180 minutes). Claims for Detention-in-Ambulance are assessed by a medical consultant on an IC basis and require the submission of a written explanation.",25.05 per 30 minutes,
,,,,
H960,Special Visit Premium Travel Premium ,Special Visit premiums can be claimed for emergency physicians getting called in early or for additional work on a non-elective basis.  A main prefix assessment code: (ex. A003  A004  A007  A001) must be used before these premiums are added.  This code applies to the first person seen on a special +C75visit for encounters Mon-Fri 0800-1700,$36.40 ,
H980,Special Visit Premium First person seen,Special Visit premiums can be claimed for emergency physicians getting called in early or for additional work on a non-elective basis.  A main prefix assessment code: (ex. A003  A004  A007  A001) must be used before these premiums are added.  This code applies to the first person seen on a special visit for encounters Mon-Fri 0800-1700,$20.00 ,
H981,Special Visit Premium Additional Persons ,"Special Visit premiums can be claimed for emergency physicians getting called in early or for additional work on a non-elective basis.A main prefix assessment code: (ex. A003  A004  A007  A001) must be used before these premiums are added.  This code is eligible for use on patients after the first person seen for a max of 5 times including the 1st patient seen) for encounters Mon-Fri 0800-1700. After the 5th patient seen, revert to billing H-prefix assessment codes.",$20.00 ,
,,,,
H962,Special Visit Premium Travel Premium ,Special Visit premiums can be claimed for emergency physicians getting called in early or for additional work on a non-elective basis. A main prefix assessment code: (ex. A003  A004  A007  A001) must be used before these premiums are added.  This code is for special visit travel Mon-Fri 1700-0000; max use 2 times,$36.40 ,
H984,Special Visit Premium First person seen Mon-Fri 1700-0000,Special Visit premiums can be claimed for emergency physicians getting called in early or for additional work on a non-elective basis. A main prefix assessment code: (ex. A003  A004  A007  A001) must be used before these premiums are added. This code applies to the first patient seen on a special visit for encounters Mon-Fri 1700-0000,$60.00 ,
H985,Special Visit Premium Additional Persons ,"Special Visit premiums can be claimed for emergency physicians getting called in early or for additional work on a non-elective basis. A main prefix assessment code: (ex. A003  A004  A007  A001) must be used before these premiums are added. This code is eligible for use on patients after the first person seen for a max of 5 times including the 1st patient seen for encounters Mon-Fri 1700-0000. After the 5th patient seen, revert to billing H-prefix assessment codes.",$60.00 ,
,,,,
H963,Special Visit Premium Travel Premium Weekend and Holidays; max use 4 times,Special Visit premiums can be claimed for emergency physicians getting called in early or for additional work on a non-elective basis. A main prefix assessment code: (ex. A003  A004  A007  A001) must be used before these premiums are added. This code is for special visit travel on the Weekend and Holidays; max use 4 times,$36.40 ,
H988,First person seen Weekend and Holidays,Special Visit premiums can be claimed for emergency physicians getting called in early or for additional work on a non-elective basis. A main prefix assessment code: (ex. A003  A004  A007  A001) must be used before these premiums are added. This code applies to the first person seen on a special visit for encounters on the weekend and holidays (nights have a higher premium),$75.00 ,
H989,Special Visit Premium Additional Persons (max of 10 including the 1st patient seen)  Weekend and Holidays,"Special Visit premiums can be claimed for emergency physicians getting called in early or for additional work on a non-elective basis. A main prefix assessment code: (ex. A003  A004  A007  A001) must be used before these premiums are added. Eligible for use on patients after the first person seen for a max of 5 times for encounters on the Weekend and Holidays. After the 5th patient seen, revert to billing H-prefix assessment codes",$75.00 ,
,,,,
H964,Special Visit Premium Travel Premium,Special Visit premiums can be claimed for emergency physicians getting called in early or for additional work on a non-elective basis. A main prefix assessment code: (ex. A003  A004  A007  A001) must be used before these premiums are added. This code is for visit travel for encounters at night 0000 to 0700 max use 2 times,$36.40 ,
H986,Special Visit Premium First person seen Night 0000-0700,Special Visit premiums can be claimed for emergency physicians getting called in early or for additional work on a non-elective basis. A main prefix assessment code: (ex. A003  A004  A007  A001) must be used before these premiums are added. This code aplies to the first person seen on a special visit for encounters at night 0000-0700,$100.00 ,
H987,Special Visit Premium Additional Persons ,Special Visit premiums can be claimed for emergency physicians getting called in early or for additional work on a non-elective basis. A main prefix assessment code: (ex. A003  A004  A007  A001) must be used before these premiums are added. This code is eligible for use on patients after the first person for an unlimited number of patients seen at Night 0000-0700,$100.00 ,
,,,,
E400C,"Anesthesia After hours premiums: evenings, weekends, holidays","Anesthesia: “C” suffix with Procedure Code
Billing is unit based, calculate as Base units (minimum = 6) + physical time spent (per 15 min) = total # of units. (1 unit = $15.01)
- use this premium if anesthesia provided between 1800-2400, on weekends or a holiday",add 50%,
E401C ,Anesthesia After hours premiums: nights`,"Anesthesia: “C” suffix with Procedure Code
Billing is unit based, calculate as Base units (minimum = 6) + physical time spent (per 15 min) = total # of units. (1 unit = $15.01)
- use this premium if anesthesia provided at night 2400-0700",add 75%,
E021C ,Anesthesia Age Premiums: Newborn < 37 gestational age,"Anesthesia: “C” suffix with Procedure Code
Billing is unit based, calculate as Base units (minimum = 6) + physical time spent (per 15 min) = total # of units. (1 unit = $15.01)
- use this premium if anesthesia provided to a newborn  less than 37 weeks gestational age",+9 units ,
E014C ,Anesthesia Age Premiums: Newborn to 28d,"Anesthesia: “C” suffix with Procedure Code
Billing is unit based, calculate as Base units (minimum = 6) + physical time spent (per 15 min) = total # of units. (1 unit = $15.01)
- use this premium if anesthesia provided to ages Newborn to 28 days old",+5 units,
E009C ,Anesthesia Age Premiums: 29 days-1 yo,"Anesthesia: “C” suffix with Procedure Code
Billing is unit based, calculate as Base units (minimum = 6) + physical time spent (per 15 min) = total # of units. (1 unit = $15.01)
- use this premium if anesthesia provided to ages 29 days to 1 year old",+4 units ,
E019C ,Anesthesia Age Premiums: 1-8 yo ,"Anesthesia: “C” suffix with Procedure Code
Billing is unit based, calculate as Base units (minimum = 6) + physical time spent (per 15 min) = total # of units. (1 unit = $15.01)
- use this premium if anesthesia provided to ages 1 year to 8 years old",+2 units,
E007C ,Anesthesia Age Premiums: 70-79 yo,"Anesthesia: “C” suffix with Procedure Code
Billing is unit based, calculate as Base units (minimum = 6) + physical time spent (per 15 min) = total # of units. (1 unit = $15.01)
- use this premium if anesthesia provided to ages 70 to 79 years old",+1 unit ,
E018C ,Anesthesia Age Premiums: 80 yo +,"Anesthesia: “C” suffix with Procedure Code
Billing is unit based, calculate as Base units (minimum = 6) + physical time spent (per 15 min) = total # of units. (1 unit = $15.01)
- use this premium if anesthesia provided to a ages 80 yo +",+3 units,
E022C ,Anesthesia ASA premium III,"Anesthesia: “C” suffix with Procedure Code
Billing is unit based, calculate as Base units (minimum = 6) + physical time spent (per 15 min) = total # of units. (1 unit = $15.01)
- use this premium if anesthesia provided to patients classified as ASA III (level 3)",+2units ,
E017C ,Anesthesia ASA premium IV,"Anesthesia: “C” suffix with Procedure Code
Billing is unit based, calculate as Base units (minimum = 6) + physical time spent (per 15 min) = total # of units. (1 unit = $15.01)
- use this premium if anesthesia provided to patients classified as ASA IV (level 4)",+10 units,
E010C ,Anesthesia BMI premium,"Anesthesia: “C” suffix with Procedure Code
Billing is unit based, calculate as Base units (minimum = 6) + physical time spent (per 15 min) = total # of units. (1 unit = $15.01)
- use this premium if anesthesia provided to patient with BMI > 40",+2 units,
A903,Anesthesia Preop assessment,"Anesthesia: “C” suffix with Procedure Code
Billing is unit based, calculate as Base units (minimum = 6) + physical time spent (per 15 min) = total # of units. (1 unit = $15.01)
- add this code for a pre-op assessment",65.05,
E011C ,Anesthesia patient position premium,"Anesthesia: “C” suffix with Procedure Code
Billing is unit based, calculate as Base units (minimum = 6) + physical time spent (per 15 min) = total # of units. (1 unit = $15.01)
- use this premium if the patient's positioning is prone for anesthesia",+4 units ,
E024C ,Anesthesia ASA Sitting (>60°) premium,"Anesthesia: “C” suffix with Procedure Code
Billing is unit based, calculate as Base units (minimum = 6) + physical time spent (per 15 min) = total # of units. (1 unit = $15.01)
- - use this premium if the patient's positioning is sitting >60 degrees for anesthesia",+4 units,
,,,,
H100,Bedside Ulltrasound (POCUS),"uses if bedside ultrasound (POCUS) is used for suspected pericardial tamponade, cardiac standstill, Free abdominal fluid(from trauma), ruptured AAA, or ruptured extopic pregnancy
maximum of 2 scans per patient per day",$19.65 ,
,,,,
K623 ,Form 1 ,add if Form 1  completed or performed during visit/encounter,$104.80 ,
K070 ,Home Care Form (CCAC) ,add if Home Care Form (CCAC)  completed or performed during visit/encounter,$31.75 ,
K035 ,MOT (ministry of transportation),add if MOT (ministry of transportation) completed or performed during visit/encounter,$36.25 ,
A771 ,Death Certificate ,add if Death Certificate  completed or performed during visit/encounter,$20.60 ,
A777 ,Death Certificate + Pronouncement ,add if Death Certificate + Pronouncement  completed or performed during visit/encounter,$33.70 ,
,,,,
K015 ,Counseling relatives of patient terminally ill or post resus,add if Counseling relatives of patient terminally ill or post resus completed or performed during visit/encounter,$62.75 ,
K005 ,Counseling (q30min) – can be  billed with same day “H” codes if there are 2 separate Dx for visit,add if Counseling (q30min) – can be  billed with same day “H” codes if there are 2 separate Dx for visit completed or performed during visit/encounter,$62.75 ,
K014 ,Counseling for Organ Donation ,add if Counseling for Organ Donation  completed or performed during visit/encounter,$62.75 ,
K028 ,Counselling STD/Needle Stick (q30min) ,add if Counselling STD/Needle Stick (q30min)  completed or performed during visit/encounter,$62.75 ,
K018 ,Counseling: Female Sexual Assault + Kit ,add if Counseling: Female Sexual Assault + Kit  completed or performed during visit/encounter,$308.70 ,
K021 ,Counseling: Male Sexual Assault + Kit ,add if Counseling: Male Sexual Assault + Kit  completed or performed during visit/encounter,$243.50 ,
,,,,
K061,Police bloodwork(court order) for police requested blood samples,add if Police bloodwork(court order) for police requested blood samples completed or performed during visit/encounter,$30.00 ,
,,,,
G115,Heart Pacing (External thoracic),"add if Heart Pacing (External thoracic) completed or performed during visit/encounter. these (*) codes do not bill with G codes. You can bill with “H” Codes,",$46.30 ,
Z443,Heart Pacing (transvenous),add if Heart Pacing (transvenous) completed or performed during visit/encounter.,$154.10 ,
G210,Hypothermia Induction,add if Hypothermia Induction completed or performed during visit/encounter,$190.75 ,
G211,Intubation (Endotracheal),add if Intubation (Endotracheal) completed or performed during visit/encounter,$38.34 ,
G224,Nerve Block (Allowed as add-on for specific blocks),"add if Nerve Block (Allowed as add-on for specific blocks) completed or performed during visit/encounter. This block is allowed in addition to procedures` for:  Intercostal, Pudendal, Femoral, Sciatic, Illioinguinal, Ulnar, Median, Radial, Brachial.",$15.55 ,
G218,Ilioinguinal or Iliohypogastric Nerve Block,add if Ilioinguinal or Iliohypogastric Nerve Block completed or performed during visit/encounter. Can NOT bill in addition to suture codes or other procedures.  For Exception see G224. Must last longer than 4 hours,$54.65 ,
G219,Infraorbital Nerve Block,add if Infraorbital Nerve Block completed or performed during visit/encounter. Can NOT bill in addition to suture codes or other procedures.  For Exception see G224. Must last longer than 4 hours,$34.20 ,
G220,Intercostal Nerve Block,add if Intercostal Nerve Block completed or performed during visit/encounter. Can NOT bill in addition to suture codes or other procedures.  For Exception see G224. Must last longer than 4 hours,$34.20 ,
G221,Intercostal Nerve Block (Each additional),add if Intercostal Nerve Block (Each additional) completed or performed during visit/encounter. Can NOT bill in addition to suture codes or other procedures.  For Exception see G224. Must last longer than 4 hours,$16.95 ,
G225,Mental Branch Nerve Block,add if Mental Branch Nerve Block completed or performed during visit/encounter. Can NOT bill in addition to suture codes or other procedures.  For Exception see G224. Must last longer than 4 hours,$34.20 ,
G235,Supraorbital Nerve Block,add if Supraorbital Nerve Block completed or performed during visit/encounter. Can NOT bill in addition to suture codes or other procedures.  For Exception see G224. Must last longer than 4 hours,$34.10 ,
G250,"Mandibular, Maxillary Nerve Block","add if Mandibular, Maxillary Nerve Block completed or performed during visit/encounter. Can NOT bill in addition to suture codes or other procedures.  For Exception see G224. Must last longer than 4 hours",$75.10 ,
G268,Arterial Line*,"add if Arterial Line* completed or performed during visit/encounter. these (*) codes do not bill with G codes. You can bill with “H” Codes,",$31.25 ,
G269,Central Venous Line,"add if Central Venous Line completed or performed during visit/encounter. these (*) codes do not bill with G codes. You can bill with “H” Codes,",$31.25 ,
G270,Intraosseous (IO)  Insertion,add if Intraosseous (IO)  Insertion completed or performed during visit/encounter,$23.90 ,
G322,Nasogastric (NG) Tube Insert (in an Intubated patient),"add if Nasogastric (NG) Tube Insert (in an Intubated patient) completed or performed during visit/encounter. these (*) codes do not bill with G codes. You can bill with “H” Codes,",$9.60 ,
G328,Joint or Bursa Aspiration,add if Joint or Bursa Aspiration completed or performed during visit/encounter,$39.80 ,
G329,Additional joint or bursa Aspiration (Each additional - maximum of 2),add if Additional joint or bursa Aspiration (Each additional - maximum of 2) completed or performed during visit/encounter,$20.25 ,
G356,Nasogastric (NG) Tube – Therapeutic,"add if Nasogastric (NG) Tube – Therapeutic completed or performed during visit/encounter. these (*) codes do not bill with G codes. You can bill with “H” Codes,",$33.80 ,
G370,Bursa or joint injection,add if Bursa or joint injection completed or performed during visit/encounter,$20.25 ,
G371,Bursa or joint injection (Each additional - max 5),add if Bursa or joint injection (Each additional - max 5) completed or performed during visit/encounter,$19.90 ,
G372,Intramuscular (IM) Injection,add if Intramuscular (IM) Injection completed or performed during visit/encounter,$3.89 ,
G403,BPPV Maneuver,add if BPPV Maneuver completed or performed during visit/encounter,$21.15 ,
G420,Ear Syringing,add if Ear Syringing completed or performed during visit/encounter,$11.25 ,
G435,Tonometry,add if Tonometry completed or performed during visit/encounter,$5.10 ,
E446 ,Ultrasound (US) guided bursa or joint injection or aspiration after failed blind attempt,add if Ultrasound (US) guided bursa or joint injection or aspiration after failed blind attempt completed or performed during visit/encounter,$30.00 ,
J149P,Ultrasound (US) guided aspiration ,add if Ultrasound (US) guided aspiration  completed or performed during visit/encounter,$47.30 ,
G900,Bladder Ultrasound Post-void residual (PVR),add if Bladder Ultrasound Post-void residual (PVR) completed or performed during visit/encounter,$12.70 ,
G004,Hemoccult Test,add if Hemoccult Test completed or performed during visit/encounter,$1.53 ,
,,,,
Z080,Wound Debridement – Extends to subcutanous (SQ) tissue (once),add if Wound Debridement – Extends to subcutanous (SQ) tissue (once) completed or performed during visit/encounter. Minimum 10 min of debridement.  Suture codes do NOT apply,$20.00 ,
Z081,Wound Debridement – Extends to subcutanous (SQ) tissue (twice),add if Wound Debridement – Extends to subcutanous (SQ) tissue (twice) completed or performed during visit/encounter. Minimum 10 min of debridement.  Suture codes do NOT apply,$30.00 ,
Z082,Wound Debridement – Extends to subcutanous (SQ) tissue (three times),add if Wound Debridement – Extends to subcutanous (SQ) tissue (three times) completed or performed during visit/encounter. Minimum 10 min of debridement.  Suture codes do NOT apply,$45.00 ,
Z083,Wound Debridement – Extends to  subcutanous (SQ) tissue (4 or more),add if Wound Debridement – Extends to  subcutanous (SQ) tissue (4 or more) completed or performed during visit/encounter. Minimum 10 min of debridement.  Suture codes do NOT apply,$60.00 ,
Z084,"Debridement – To tendon, bone, ligament, bursa (once)","add if Debridement – To tendon, bone, ligament, bursa (once) completed or performed during visit/encounter. Minimum 10 min of debridement.  Suture codes do NOT apply",$60.00 ,
Z085,"Debridement – To tendon, bone, ligament, bursa (2 or more sites)","add if Debridement – To tendon, bone, ligament, bursa (2 or more sites) completed or performed during visit/encounter. Minimum 10 min of debridement.  Suture codes do NOT apply",$90.00 ,
R660 ,Burn Debridement Hand – each digit ,add if Burn Debridement Hand – each digit  completed or performed during visit/encounter,$28.60 ,
R662 ,"Burn Debridement Nose, cheek, lip, ear, forehead, scalp,  neck eyelid - each","add if Burn Debridement Nose, cheek, lip, ear, forehead, scalp,  neck eyelid - each completed or performed during visit/encounter",$28.90 ,
R662 ,"Burn Debridement Hand – Dorsum, Palm - each ","add if Burn Debridement Hand – Dorsum, Palm - each  completed or performed during visit/encounter",$28.90 ,
R637 ,"Burn Debridement Debride & excision per % total body  treated other than hand, head, or neck","add if Burn Debridement Debride & excision per % total body  treated other than hand, head, or neck completed or performed during visit/encounter",$29.65 ,
Z101,Incision and Drainage (I&D) - One,add if Incision and Drainage (I&D) - One completed or performed during visit/encounter,$25.75 ,
Z102,Incision and Drainage (I&D) - One plus general anesthesia (General Anesthesia (+GA)),add if Incision and Drainage (I&D) - One plus general anesthesia (General Anesthesia (+GA)) completed or performed during visit/encounter,$44.35 ,
Z173,Incision and Drainage (I&D) - Two,add if Incision and Drainage (I&D) - Two completed or performed during visit/encounter,$30.35 ,
Z172,Incision and Drainage (I&D) - Two or more plus general anesthesia (General Anesthesia (+GA)),add if Incision and Drainage (I&D) - Two or more plus general anesthesia (General Anesthesia (+GA)) completed or performed during visit/encounter,$66.60 ,
Z174 ,Incision and Drainage (I&D) - Three or more,add if Incision and Drainage (I&D) - Three or more completed or performed during visit/encounter,$40.80 ,
Z103,Incision and Drainage (I&D) - Palmar/Plantar Space,add if Incision and Drainage (I&D) - Palmar/Plantar Space completed or performed during visit/encounter,$44.35 ,
Z227,Incision and Drainage (I&D) - intramuscular,add if Incision and Drainage (I&D) - intramuscular completed or performed during visit/encounter,$101.65 ,
Z226,Incision and Drainage (I&D) - bursa/soft tissue,add if Incision and Drainage (I&D) - bursa/soft tissue completed or performed during visit/encounter,$97.65 ,
Z104,Incision and Drainage (I&D) - Perianal,add if Incision and Drainage (I&D) - Perianal completed or performed during visit/encounter,$20.10 ,
Z105,Inscision and Drainage (I&D) - Perianal (with general anesthesia (+GA)),add if Inscision and Drainage (I&D) - Perianal (with general anesthesia (+GA)) completed or performed during visit/encounter,$66.00 ,
Z106,Incision and Drainage (I&D) - Ischiorectal/Pilonidal,add if Incision and Drainage (I&D) - Ischiorectal/Pilonidal completed or performed during visit/encounter,$44.35 ,
Z107,Incision and Drainage (I&D) - Ischiorectal/Pilonidal (with general anesthesia (+GA)),add if Incision and Drainage (I&D) - Ischiorectal/Pilonidal (with general anesthesia (+GA)) completed or performed during visit/encounter,$108.00 ,
Z108,Incision and Drainage (I&D) - Palmar/Plantar Space (with general anesthesia (+GA)),add if Incision and Drainage (I&D) - Palmar/Plantar Space (with general anesthesia (+GA)) completed or performed during visit/encounter,$72.00 ,
Z301,Incision and Drainage (I&D) – Nose ,add if Incision and Drainage (I&D) – Nose  completed or performed during visit/encounter,$55.60 ,
E318,Incision and Drainage (I&D) – Ear (packing/compression dressing) ,add if Incision and Drainage (I&D) – Ear (packing/compression dressing)  completed or performed during visit/encounter,$92.40 ,
Z114,Foreign Body Removal – Skin,add if Foreign Body Removal – Skin completed or performed during visit/encounter,$25.25 ,
Z115,Foreign Body Removal – Skin (with general anesthesia (+GA)),add if Foreign Body Removal – Skin (with general anesthesia (+GA)) completed or performed during visit/encounter,$11.15 ,
R517,Foreign Body Removal – Muscle,add if Foreign Body Removal – Muscle completed or performed during visit/encounter,$107.70 ,
Z128,Nail Excision – Partial/Complete (once),add if Nail Excision – Partial/Complete (once) completed or performed during visit/encounter,$33.10 ,
Z129,Nail Excision – Partial/Complete (Multiple),add if Nail Excision – Partial/Complete (Multiple) completed or performed during visit/encounter,$35.70 ,
Z130,Nail Excision with Nail Bed Destruction (once),add if Nail Excision with Nail Bed Destruction (once) completed or performed during visit/encounter,62.70,
Z131,Nail Excision with Nail Bed Destruction (Multiple),add if Nail Excision with Nail Bed Destruction (Multiple) completed or performed during visit/encounter,$82.65 ,
Z143,"Minor Procedure (e.g., Skin Lesion Removal)","add if Minor Procedure (e.g., Skin Lesion Removal) completed or performed during visit/encounter",[In Master Doc],
Z154,Laceration Repair ≤ 5 cm – on Face/in layers/with bleeding vessels,add if Laceration Repair ≤ 5 cm – on Face/in layers/with bleeding vessels completed or performed during visit/encounter,$35.90 ,
